comment_id,comment_text,likes,sentiment,theme,timestamp,video_id,user_id
56,Could you walk through this step with a diagram?,25,0.044,Request for more explanation,2026-01-30 19:57:28.934340,vid_aqpmbn3a,user_vmpcj2k7
57,Where's the replicable in practice?,4,-0.714,Skepticism / credibility concern,2025-12-07 09:18:49.934340,vid_x5atomff,user_8vaobbgn
58,"For anyone curious, timing is what worked for me.",6,0.328,General discussion,2026-01-14 07:39:11.934340,vid_k4xf5q3j,user_m5jo5fqa
59,Can you break down the last part with a simple analogy?,13,0.051,Request for more explanation,2025-12-24 07:41:29.934340,vid_s9k9bcoe,user_ywknwnqt
60,Can you show the difference with real examples?,26,0.181,Request for more explanation,2025-12-27 15:45:26.934340,vid_muiz4t6y,user_2k27tjit
61,So helpful simple and clear.,5,0.886,Positive feedback / praise,2026-01-19 23:54:02.934340,vid_y5lcufvj,user_t4l3bq16
62,Interesting point about the environment is worth testing.,7,-0.359,General discussion,2025-12-13 10:58:07.934340,vid_nhav07ar,user_0dblf8bi
63,Can you explain the takeaway with numbers?,3,-0.04,Request for more explanation,2026-02-06 03:13:18.934340,vid_x7hmez8q,user_mhwj0brr
64,Can you break down the logic with a quick demo?,2,0.088,Request for more explanation,2026-02-02 23:22:20.934340,vid_spa0gurg,user_j7t7wig6
65,Amazing breakdown so much.,22,0.501,Positive feedback / praise,2025-11-28 23:06:44.934340,vid_ugjajowe,user_batf5omi
66,Can you explain the takeaway with a simple analogy?,40,0.101,Request for more explanation,2025-11-21 13:34:00.934340,vid_mdrj4bx9,user_2r7rlohw
67,Can you show the process step by step?,8,0.185,Request for more explanation,2025-12-03 02:37:27.934340,vid_524smgp0,user_cre4dv76
68,I wish you explained the logic with a quick demo?,27,0.184,Request for more explanation,2025-12-29 15:02:34.934340,vid_yvpagau8,user_oizqyzna
69,I don't understand the key step in the video.,13,-0.191,Confusion about topic,2025-12-02 11:53:45.934340,vid_t7zqclo8,user_xbiintai
70,I've noticed timing is a big variable.,4,0.119,General discussion,2025-12-11 19:47:00.934340,vid_l5kbts5h,user_uk0uuepd
71,Can you break down the logic with context?,13,0.237,Request for more explanation,2025-12-09 04:31:09.934340,vid_rc2hld2s,user_7f4tsql1
72,I doubt credible in a study?,49,-0.408,Skepticism / credibility concern,2025-11-22 00:45:59.934340,vid_ke1azpc2,user_qt3yszvn
73,I got lost at the difference between stages in this context.,9,-0.079,Confusion about topic,2025-11-21 09:23:12.934340,vid_r4ked1i9,user_wr9d2j6q
74,Best video for real.,50,0.376,Positive feedback / praise,2026-01-13 05:36:01.934340,vid_695r4fm3,user_2lk89h9e
75,I wish you explained the difference with real examples?,1,-0.004,Request for more explanation,2026-01-05 00:52:32.934340,vid_smklhgxv,user_fn4586en
76,Could you walk through the last part in plain language?,22,0.139,Request for more explanation,2026-01-10 13:06:28.934340,vid_83mi4ib6,user_e5o4dfcl
77,I'm skeptical accurate at scale?,10,-0.679,Skepticism / credibility concern,2026-01-27 12:25:03.934340,vid_zjgub6xj,user_ely0xq7g
78,In my experience consistency can vary a lot.,6,0.477,General discussion,2026-02-16 19:20:51.934340,vid_jere1g1e,user_64xsu6ll
79,Exactly what I needed simple and clear.,10,0.332,Positive feedback / praise,2025-12-14 22:25:57.934340,vid_g1i06aiw,user_u7eidwy4
80,What does REM vs deep sleep is supposed to mean.,1,-0.099,Confusion about topic,2025-12-15 01:03:46.934340,vid_xest02y9,user_d7n7namq
81,Side thought: timing is worth testing.,7,0.252,General discussion,2025-11-28 18:04:16.934340,vid_0bwfp1b4,user_hxp6sbqs
82,Great explanation I've seen on this topic.,13,0.532,Positive feedback / praise,2025-11-27 10:27:13.934340,vid_k53nvxry,user_7ynn9g93
83,Side thought: routine changes can be counterintuitive.,46,0.307,General discussion,2025-12-01 21:41:42.934340,vid_qgftgxq7,user_esrffuef
84,I wish you explained the method in another video?,5,0.135,Request for more explanation,2026-01-28 15:19:24.934340,vid_0fpm94q4,user_zk8ywvkb
85,One thing I'd add is the environment seems underrated.,4,0.182,General discussion,2026-01-27 09:17:56.934340,vid_sxa0zivp,user_imipj6sl
86,Could you walk through the main idea in plain language?,5,0.223,Request for more explanation,2025-12-12 04:54:59.934340,vid_08gh61xp,user_mo6viq15
87,Great explanation this is gold.,25,0.661,Positive feedback / praise,2025-12-02 17:08:06.934340,vid_5ucb5drl,user_7j91g2g0
88,Really appreciate this keep these coming.,13,0.613,Positive feedback / praise,2025-12-17 04:13:41.934340,vid_zz1wraa7,user_hu9ywnyj
89,Would you clarify the difference with context?,5,0.242,Request for more explanation,2026-02-02 15:43:17.934340,vid_7gh41ukc,user_9qw2ask2
90,I got lost at how this works you meant.,16,-0.001,Confusion about topic,2026-01-08 20:13:08.934340,vid_ovrxitiz,user_lzhwrgu6
91,Great explanation you nailed it.,10,0.739,Positive feedback / praise,2026-02-09 20:10:02.934340,vid_y8x8xu2p,user_2146nz9g
92,I'm confused about the difference between stages you said.,26,-0.181,Confusion about topic,2025-12-07 02:04:11.934340,vid_lcsvfxcb,user_s966hahc
93,This reminds me of diet can vary a lot.,4,-0.045,General discussion,2026-02-06 11:14:34.934340,vid_bcmma11k,user_i8uee2wq
94,Would you clarify the example a bit more slowly?,6,0.012,Request for more explanation,2026-02-08 09:32:31.934340,vid_rahtzrrj,user_24qey236
95,Still confused about the term you used exactly means.,6,-0.116,Confusion about topic,2026-02-01 00:15:45.934340,vid_k5a4rgfn,user_4z3fy63o
96,Can someone explain the key step right there.,2,-0.14,Confusion about topic,2025-11-24 11:37:57.934340,vid_irohy1o7,user_zg8aymxf
97,Could you walk through the takeaway in another video?,13,-0.084,Request for more explanation,2025-12-08 22:55:30.934340,vid_2b4f63ve,user_gsei3tvl
98,"For anyone curious, stress levels is key for results.",12,0.417,General discussion,2026-01-14 09:43:30.934340,vid_tnsm8x7p,user_162p2erz
99,I need more detail on the logic with context?,9,0.281,Request for more explanation,2025-12-01 13:31:52.934340,vid_nv7hjyrg,user_gzx1yfh1
100,I got lost at the formula right there.,7,-0.295,Confusion about topic,2026-01-20 09:18:07.934340,vid_j0vv8hjn,user_hdnr911o
101,Interesting point about habits made a big difference.,2,0.241,General discussion,2025-11-20 21:36:48.934340,vid_11o5lkhj,user_u1fcaj1k
102,Still unsure about this step with a simple analogy?,6,0.241,Request for more explanation,2026-01-08 14:24:37.934340,vid_649m56va,user_diu43zyk
103,Can you break down the takeaway with numbers?,6,0.242,Request for more explanation,2025-11-23 05:16:33.934340,vid_vwr5t9l1,user_hrv7x4fz
104,Could you expand on the last part with a diagram?,4,0.086,Request for more explanation,2025-12-31 12:59:11.934340,vid_otarlz0q,user_xos9gn02
105,So helpful thank you.,8,0.812,Positive feedback / praise,2025-12-12 12:29:56.934340,vid_eqqa9lbp,user_lyof8iqi
106,"For anyone curious, stress levels is what worked for me.",14,-0.098,General discussion,2026-02-01 19:54:40.934340,vid_rec5y2ba,user_1qnjyp4e
107,I need more detail on the takeaway in another video?,72,-0.015,Request for more explanation,2026-01-20 02:36:21.934340,vid_qmrpoqsy,user_f6yel8gf
108,So helpful for real.,11,0.618,Positive feedback / praise,2026-01-05 04:10:16.934340,vid_k1yq44ng,user_wl23gz29
109,Amazing breakdown thank you.,12,0.748,Positive feedback / praise,2025-12-03 08:46:10.934340,vid_oznyq6pg,user_jlf8uv7d
110,I'm confused about the point here in practice.,8,-0.375,Confusion about topic,2026-01-18 07:30:45.934340,vid_8489r1rz,user_sbl2v184
111,Source? credible for everyone?,1,-0.768,Skepticism / credibility concern,2026-01-20 04:40:31.934340,vid_8jjm3o7x,user_k386cgk4
112,"For anyone curious, consistency matters more than I expected.",9,0.136,General discussion,2026-02-07 05:57:34.934340,vid_f30vxemn,user_uqar2kgm
113,Could you walk through that concept with numbers?,10,-0.067,Request for more explanation,2026-02-09 20:36:06.934340,vid_m28wfyeg,user_rmsnt0kt
114,Quick note: stress levels can be counterintuitive.,136,-0.286,General discussion,2026-02-09 03:47:36.934340,vid_fyazpqv6,user_e4ld2zau
115,I've noticed sleep cycles can vary a lot.,7,0.395,General discussion,2026-01-06 02:21:26.934340,vid_uu2bwqnx,user_inxsmi61
116,What does the difference between stages you meant.,13,-0.26,Confusion about topic,2025-12-13 20:16:18.934340,vid_f6hyd6i0,user_4q9hoe8b
117,Can someone explain the formula exactly means.,9,-0.014,Confusion about topic,2026-01-12 11:15:49.934340,vid_byvs4c3g,user_x9fv1hg4
118,Not sure what the example in this context.,2,-0.176,Confusion about topic,2026-01-20 09:18:15.934340,vid_4c1arr5t,user_gbyde89v
119,In my experience routine changes is key for results.,1994,0.117,General discussion,2026-01-31 08:08:46.934340,vid_gi7xl9oe,user_vnx4mg9c
120,"Wait, what is REM vs deep sleep exactly means.",21,-0.041,Confusion about topic,2025-12-05 11:43:40.934340,vid_m0vyrg5a,user_pfi0kns0
121,Quick note: screen time can vary a lot.,22,0.292,General discussion,2026-01-16 11:43:00.934340,vid_scc4djyr,user_9bef1efz
122,Finally get it this is gold.,3,0.806,Positive feedback / praise,2025-12-26 22:00:16.934340,vid_0rn2wo9k,user_mr2nwdn9
123,I've noticed diet is key for results.,1860,-0.403,General discussion,2026-02-05 01:24:29.934340,vid_hsqhbpwk,user_q3ulaopo
124,Please explain the difference in plain language?,2,0.281,Request for more explanation,2025-11-24 13:14:35.934340,vid_o9dqqxiu,user_ww2c4vi5
125,It also depends on sleep cycles is worth testing.,17,0.314,General discussion,2026-01-02 13:30:54.934340,vid_jjlf2n3u,user_9sytgfqz
126,Could you expand on the process with numbers?,100,0.064,Request for more explanation,2025-12-26 11:56:00.934340,vid_tg1cvyl6,user_276h1bmy
127,I might be missing the example at that timestamp.,3,-0.01,Confusion about topic,2026-02-10 05:08:44.934340,vid_cawq3m7o,user_dvj66veu
128,I don't understand the transition in practice.,5,-0.251,Confusion about topic,2025-11-27 01:21:14.934340,vid_5ckmtb89,user_fzeruc7s
129,Super clear saved me hours.,10,0.5,Positive feedback / praise,2026-02-09 14:16:41.934340,vid_2s9qgd9e,user_jro4om9o
130,Super clear for real.,5,0.791,Positive feedback / praise,2026-01-05 00:57:31.934340,vid_hpbahdg1,user_7ye3aj4x
131,This reminds me of routine changes can vary a lot.,2,-0.41,General discussion,2026-01-16 21:57:41.934340,vid_ye29a3l6,user_kzozoe3j
132,Can you show the last part in another video?,10,0.2,Request for more explanation,2026-01-23 09:24:41.934340,vid_so282d8f,user_uyt82z4j
133,Really appreciate this I've seen on this topic.,3,0.743,Positive feedback / praise,2025-12-21 23:50:00.934340,vid_t33jpobm,user_sijpbeup
134,This helped me for real.,15,0.896,Positive feedback / praise,2025-12-24 22:15:23.934340,vid_uixcturz,user_lqcxm0z7
135,Could you expand on the logic with numbers?,3,-0.054,Request for more explanation,2026-01-12 12:05:36.934340,vid_5mtilejv,user_74e69g4v
136,This reminds me of screen time is tricky to optimize.,50,-0.087,General discussion,2026-01-17 02:11:33.934340,vid_c6titugs,user_o4c23x5u
137,Source? scientifically proven in a study?,4,-0.331,Skepticism / credibility concern,2025-12-22 08:54:01.934340,vid_wuns0u5q,user_ejix7uc5
138,Finally get it for real.,6,0.515,Positive feedback / praise,2026-02-05 03:05:43.934340,vid_hy0wnsb7,user_g0ni0lzk
139,"For anyone curious, timing made a big difference.",22,0.4,General discussion,2025-11-25 09:15:18.934340,vid_lyxomen6,user_xksenzna
140,I'm confused about REM vs deep sleep exactly means.,2,-0.084,Confusion about topic,2026-02-16 01:32:29.934340,vid_9xkr9nj5,user_2rxdgzt2
141,Has this been a real effect in a study?,12,-0.599,Skepticism / credibility concern,2026-01-17 22:52:55.934340,vid_5ab7xs2e,user_6irf1rce
142,"For anyone curious, timing can be counterintuitive.",38,0.473,General discussion,2025-12-26 11:15:20.934340,vid_0nk0f3bt,user_pwsi7p4s
143,Can you show this step with context?,2,0.072,Request for more explanation,2025-12-17 21:09:17.934340,vid_l4lrtatm,user_7jz4dzin
144,"For anyone curious, the environment is a big variable.",11,0.404,General discussion,2025-12-28 02:48:08.934340,vid_ng9i76go,user_le7godvy
145,Super clear you made it click.,12,0.37,Positive feedback / praise,2026-01-26 15:08:21.934340,vid_3pzbf97c,user_hqzf2ive
146,Has this been backed by data for most people?,21,-0.329,Skepticism / credibility concern,2026-02-16 14:43:20.934340,vid_y0w58d8t,user_hkcc3f1e
147,I'm skeptical verified because I can't find it.,2,-0.231,Skepticism / credibility concern,2026-01-14 12:22:15.934340,vid_8vlpcnui,user_zlpti4me
148,Could you walk through this step with numbers?,2,-0.095,Request for more explanation,2026-01-11 13:32:09.934340,vid_gegr7omj,user_0ipct6c0
149,Where's the scientifically proven for most people?,16,-0.375,Skepticism / credibility concern,2025-11-19 08:42:08.934340,vid_8b19redg,user_br3ktofz
150,This reminds me of habits is a big variable.,13,-0.475,General discussion,2025-11-24 11:13:05.934340,vid_4fqgo8ry,user_r8964wp5
151,Amazing breakdown keep these coming.,12,0.431,Positive feedback / praise,2026-01-28 22:01:23.934340,vid_ww49uxi9,user_zwoio65x
152,Best video this is gold.,13,0.888,Positive feedback / praise,2026-01-10 21:00:39.934340,vid_6aztikvi,user_bmco1bki
153,So helpful I've seen on this topic.,4,0.621,Positive feedback / praise,2026-02-09 07:50:59.934340,vid_f25ff090,user_fh9sfq4f
154,Love this you made it click.,12,0.574,Positive feedback / praise,2025-12-10 02:43:04.934340,vid_983v5qen,user_39vzgtvc
155,I'm confused about the example in the video.,12,-0.205,Confusion about topic,2026-01-08 02:51:21.934340,vid_hswdf5ag,user_quvss1qm
156,Best video saved me hours.,4,0.563,Positive feedback / praise,2026-02-10 07:40:04.934340,vid_irw3y5a2,user_nvreccks
157,Can someone explain the difference between stages exactly means.,70,-0.28,Confusion about topic,2025-12-17 10:37:44.934340,vid_92hkqi5o,user_b0ojuc7d
158,It also depends on habits made a big difference.,15,-0.383,General discussion,2025-12-11 23:12:18.934340,vid_fvhdvmwy,user_disijndw
159,"Wait, what is the transition for beginners.",2,-0.16,Confusion about topic,2026-02-09 10:26:51.934340,vid_67mc25f1,user_ce043x1c
160,Please explain the takeaway with real examples?,19,0.114,Request for more explanation,2026-02-06 22:10:17.934340,vid_yupm81nz,user_xu3lx9ca
161,Great explanation you made it click.,3,0.907,Positive feedback / praise,2026-02-08 07:16:21.934340,vid_ieyh3z8u,user_agtifo44
162,Please explain this step with a diagram?,21,-0.045,Request for more explanation,2026-02-08 20:22:25.934340,vid_5dlokiad,user_23helsub
163,Can you break down that concept with a quick demo?,32,0.093,Request for more explanation,2025-12-28 00:34:20.934340,vid_yiumi9ge,user_u1yeko4y
164,I tried this and exercise matters more than I expected.,4,-0.033,General discussion,2025-12-06 19:58:22.934340,vid_xm3agtsx,user_kdvwuws0
165,Source? verified or just hype?,26,-0.247,Skepticism / credibility concern,2025-12-04 07:17:29.934340,vid_thnm5c5y,user_87dg8n37
166,Please explain that concept with numbers?,14,-0.059,Request for more explanation,2026-02-11 06:23:10.934340,vid_1n77uc5h,user_1d1zfd1n
167,Is there proof replicable because I can't find it.,22,-0.324,Skepticism / credibility concern,2026-02-06 13:40:25.934340,vid_o0n2nofy,user_6lrim4sa
168,Quick note: stress levels is tricky to optimize.,73,-0.076,General discussion,2025-11-24 07:41:10.934340,vid_rleogkbp,user_6nxmew6y
169,Love this you nailed it.,7,0.375,Positive feedback / praise,2025-12-06 09:54:11.934340,vid_tzrr57xt,user_q4jiunwb
170,This part is unclear: the point here is supposed to mean.,4,-0.25,Confusion about topic,2026-01-07 19:26:34.934340,vid_ovrbq3k9,user_qr6es699
171,Great explanation so much.,3,0.971,Positive feedback / praise,2026-01-21 17:29:53.934340,vid_d6a1w5d7,user_611tv4b8
172,Can you show that concept with context?,4,0.231,Request for more explanation,2026-01-17 19:15:59.934340,vid_ve52zu10,user_1ck267om
173,Super clear so much.,8,0.38,Positive feedback / praise,2025-12-29 00:10:19.934340,vid_izewbos8,user_vbqkoi06
174,Source? supported by research in a study?,13,-0.653,Skepticism / credibility concern,2025-11-23 05:26:06.934340,vid_im3oln5w,user_pii997mk
175,I need more detail on the difference with a simple analogy?,12,0.212,Request for more explanation,2026-01-09 12:17:24.934340,vid_71z7nx72,user_5hw18jku
176,I need more detail on this step with a diagram?,22,-0.014,Request for more explanation,2026-01-08 02:17:45.934340,vid_oaajpwa0,user_yn4pm3h1
177,Exactly what I needed you made it click.,9,0.669,Positive feedback / praise,2026-02-15 12:15:05.934340,vid_d7duwaw2,user_bas2x5bv
178,Would you clarify the takeaway a bit more slowly?,45,0.13,Request for more explanation,2025-11-29 08:26:21.934340,vid_0gjpqpq2,user_g07scqbe
179,Best video so much.,7,0.862,Positive feedback / praise,2026-02-05 02:16:11.934340,vid_4ni1054c,user_xlz8j208
180,What does the example in the video.,180,-0.35,Confusion about topic,2025-12-10 21:10:35.934340,vid_40irg29f,user_2ru5u84f
181,I need more detail on the takeaway with numbers?,18,-0.005,Request for more explanation,2025-12-14 19:16:53.934340,vid_lvwul6rl,user_nk3lv2gk
182,Can you explain the takeaway with real examples?,4,0.265,Request for more explanation,2026-01-31 16:13:48.934340,vid_9dtp3n6d,user_oo7rrwjk
183,Can you show this step step by step?,3,0.267,Request for more explanation,2026-02-08 20:02:35.934340,vid_o2gutvjt,user_6a9vg27d
184,Can you explain the last part in another video?,15,-0.062,Request for more explanation,2025-12-31 18:33:40.934340,vid_uu8ky6e1,user_cdt7p917
185,I'm skeptical replicable in a study?,7,-0.348,Skepticism / credibility concern,2026-01-27 12:59:00.934340,vid_ymse6ayf,user_qhgvyoz3
186,I might be missing the definition right there.,20,-0.155,Confusion about topic,2025-12-09 17:55:22.934340,vid_hl95b8mb,user_bnyhki3o
187,Can someone explain the transition in the video.,15,-0.063,Confusion about topic,2025-11-30 05:07:36.934340,vid_x1uysbfo,user_omzfy5yb
188,This reminds me of sleep cycles is what worked for me.,8,-0.452,General discussion,2025-12-12 04:39:08.934340,vid_zbrgljra,user_2v1m6u1s
189,Could you walk through the difference with numbers?,4,-0.009,Request for more explanation,2025-11-23 08:44:41.934340,vid_vpx0x1cc,user_uupjpg09
190,I need more detail on the logic with real examples?,2,0.274,Request for more explanation,2026-01-10 01:09:56.934340,vid_efe7t0ts,user_61k0rw98
191,One thing I'd add is sleep cycles can vary a lot.,6,-0.452,General discussion,2026-01-30 19:18:29.934340,vid_zdxo7wr1,user_gsbw6m2u
192,What does the definition for beginners.,23,-0.083,Confusion about topic,2026-02-03 01:02:24.934340,vid_f5547t3k,user_12ghodjb
193,I don't understand the difference between stages for beginners.,11,-0.216,Confusion about topic,2025-12-08 23:16:39.934340,vid_9odu1lvn,user_o7b2yfr5
194,Could you expand on the last part step by step?,2,0.111,Request for more explanation,2026-01-13 18:40:43.934340,vid_03y3pawj,user_3qhtrt6r
195,Amazing breakdown for real.,11,0.525,Positive feedback / praise,2025-12-01 21:16:06.934340,vid_zxc7nemc,user_ya8gva4n
196,Best video I've seen on this topic.,14,0.485,Positive feedback / praise,2026-01-04 21:31:28.934340,vid_x655h6id,user_4gl3kx80
197,Could you walk through the difference step by step?,3,0.234,Request for more explanation,2025-11-21 05:50:43.934340,vid_ydnrb3dm,user_lkowz3dy
198,Please explain the last part a bit more slowly?,11,0.289,Request for more explanation,2026-01-14 10:32:09.934340,vid_4acrpqny,user_0a7i0yi8
199,Can you explain the main idea in another video?,10,0.227,Request for more explanation,2025-12-16 19:47:39.934340,vid_mp795c4k,user_sgjl73yw
200,Could you walk through the difference in plain language?,3,0.226,Request for more explanation,2026-02-11 01:34:36.934340,vid_9bt78kkd,user_z3ovqlak
201,Has this been validated beyond anecdotes?,13,-0.375,Skepticism / credibility concern,2025-11-27 13:30:55.934340,vid_2sgr9w26,user_abm0wcbk
202,Love this saved me hours.,17,0.983,Positive feedback / praise,2026-01-13 03:19:55.934340,vid_wc47p13v,user_8flrjykc
203,Side thought: timing is a big variable.,30,-0.312,General discussion,2026-02-16 16:47:34.934340,vid_fj02lvrz,user_bt0ejbbn
204,Can you break down that concept with context?,29,0.159,Request for more explanation,2026-01-31 05:44:26.934340,vid_nd8h6muh,user_i7b0hbll
205,Can you explain the process with a simple analogy?,2,0.007,Request for more explanation,2026-01-14 23:03:15.934340,vid_j2g9tdro,user_g79612kz
